n_qubits,N,sim_time_s,mem_mb_theoretical,device
20,1048576,3.070454310000059,16.0,GPU
21,2097152,5.543580049000411,32.0,GPU
22,4194304,11.472246184999676,64.0,GPU
23,8388608,25.994133930000316,128.0,GPU
24,16777216,64.51931434200014,256.0,GPU
25,33554432,173.7399829879996,512.0,GPU
26,67108864,485.2987867669999,1024.0,GPU
27,134217728,1385.8084910049993,2048.0,GPU
28,268435456,4009.6092960590013,4096.0,GPU
29,536870912,11708.953159741,8192.0,GPU
30,1073741824,34077.691226854,16384.0,GPU
31,2147483648,93411.240085252,32768.0,GPU